Site,Hole,Core,Type,Section,Interval,Depth CSF,TotalCPS,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Mo,Ag,Ba
U1523,B,5,F,1,64,56.74,128546,65,3269,101493,169,2581,36239,81,35230,22616,12637,728,1565,126607,4227,310,843,1910,5099,6475,1259,7898,135,216446,1439
U1523,B,5,F,1,66,56.76,128201,101,2837,98684,186,2552,40335,-725,33310,20783,11902,648,1570,124189,4331,270,844,1986,5020,6194,1269,7327,-154,210598,1179
U1523,B,5,F,1,68,56.78,133710,108,4157,129277,291,2332,32697,-1293,35473,21069,12272,942,1736,126623,4297,247,869,1971,5100,6308,1350,7330,106,214457,1372
U1523,B,5,F,1,70,56.8,133146,109,3326,108688,222,2833,42934,-1899,34010,21641,12357,937,1760,127891,4405,301,942,2038,5203,6561,1414,7396,281,211775,1417
U1523,B,5,F,1,72,56.82,140795,166,4244,126603,358,3528,39065,-2372,38154,27269,13434,651,2027,139969,4403,359,959,2040,5577,6947,1311,8445,301,213507,1449
U1523,B,5,F,1,74,56.84,141546,211,4511,137019,297,3239,38428,-2793,37717,28093,13219,847,1939,134998,4505,335,983,1987,5286,6834,1379,7548,218,216979,1340
U1523,B,5,F,1,76,56.86,139652,114,4755,133693,325,3290,36441,-2670,37948,27004,13748,877,1892,136412,4204,267,877,1815,5344,7040,1332,7861,43,211335,1532
U1523,B,5,F,1,78,56.88,130101,94,4172,116666,298,2644,31967,-1288,35635,26221,12052,870,1696,125239,4479,284,947,1803,5383,7178,1110,7772,44,212233,1343
U1523,B,5,F,1,80,56.9,138856,123,4233,122953,311,3069,36497,-1708,38661,27641,13644,639,1900,136384,4308,246,922,1955,5155,7020,1417,7919,-35,211511,1464
U1523,B,5,F,1,82,56.92,136314,60,3740,115999,286,3078,38361,-1498,37276,27556,12574,843,2150,133401,4451,240,959,1773,5380,7341,1227,8169,78,217107,1431
U1523,B,5,F,1,84,56.94,139664,82,3809,119712,391,3494,41884,-2746,37232,28502,13394,584,2096,135515,4496,271,945,1835,5487,7740,1327,8006,95,210522,1594
U1523,B,5,F,1,86,56.96,141870,186,4689,135057,316,3003,37529,-2514,38896,26910,13796,618,1935,138134,4380,307,860,1929,5437,7022,1499,8076,344,210096,1552
U1523,B,5,F,1,88,56.98,141142,71,4663,128432,304,2931,37536,-2101,40466,27483,13985,932,2168,140391,4448,305,958,1676,5766,7598,1363,8330,41,211382,1378
U1523,B,5,F,1,90,57,141759,159,4994,136635,496,3225,37955,-2320,39875,26964,13937,648,2209,137211,4518,230,980,1758,5448,7162,1268,8867,-19,209898,1452
U1523,B,5,F,1,92,57.02,139348,129,4266,126437,274,3191,39072,-2507,38412,26455,13176,509,1788,136251,4481,320,935,1822,5383,7039,1422,8344,161,215261,1526
U1523,B,5,F,1,94,57.04,140502,167,4357,131454,466,3510,40950,-2859,37892,26644,13170,814,1952,134290,4434,302,934,1882,5191,7050,1258,7996,106,211372,1602
U1523,B,5,F,1,96,57.06,140292,129,4288,124200,460,3506,42765,-3302,37604,26158,13764,729,2064,137217,4457,280,941,1804,5351,7132,1157,7998,210,509258,3997
U1523,B,5,F,1,98,57.08,142627,118,4947,140437,326,3190,38692,-3003,38862,25683,13579,709,1824,138499,4526,323,903,1954,5470,6954,1373,8311,123,214677,1381
U1523,B,5,F,1,100,57.1,142853,142,4524,137535,322,3413,40940,-3706,37395,28544,12985,461,2007,136089,4400,285,866,1879,5191,7258,1218,8056,25,211520,1609
U1523,B,5,F,1,102,57.12,140975,88,4031,127771,335,3539,43977,-3479,36503,28256,13566,939,1954,132646,4598,300,950,1858,5188,7054,1430,7999,128,214606,1394
U1523,B,5,F,1,104,57.14,139080,74,3730,120145,280,3327,44044,-3244,36765,26397,12664,872,2096,133588,4552,259,890,1773,5292,6731,1146,7903,167,211294,1476
U1523,B,5,F,1,106,57.16,145061,175,5474,152439,480,2848,34978,-2943,39838,27558,13538,694,2302,137087,4407,318,925,1846,5362,7141,1298,7868,-174,209668,1364
U1523,B,5,F,1,108,57.18,142012,147,4365,130963,387,3211,41943,-3424,38252,28012,13623,816,2080,135855,4572,325,971,1893,5534,7533,1322,8501,360,212750,1657
U1523,B,5,F,1,110,57.2,139012,135,3889,124398,287,3471,42261,-3672,36414,28643,12994,777,2111,131517,4430,285,930,1805,5238,6995,1320,7999,342,211796,1636
U1523,B,5,F,1,112,57.22,138437,103,4335,132271,430,2920,37433,-2824,36761,26422,13061,922,2183,129500,4488,233,897,1885,5184,6849,1154,7343,180,215245,1557
U1523,B,5,F,1,114,57.24,136336,134,3805,121892,355,3032,39092,-2460,36238,25581,12877,704,2041,130088,4603,331,968,1911,5327,7187,1269,7736,290,211719,1578
U1523,B,5,F,1,116,57.26,136316,119,3693,115712,328,3273,42149,-2498,35846,27758,12630,506,2041,130712,4493,301,964,1825,5217,7102,1120,7808,-38,210535,1617
U1523,B,5,F,1,118,57.28,135973,87,3564,119837,315,3467,40151,-1835,35654,26792,12815,645,1830,128956,4321,243,999,1792,5341,7068,1210,7598,65,510173,4176
