Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF), Sample_ID ,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ni_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,Si/Ca,ln(Si/Ca),ln(Si/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Ni/Ca,ln(Ni/Ca),ln(Ni/Ca) predicted,Zn/Ca,ln(Zn/Ca),ln(Zn/Ca) predicted,Br/Ca,ln(Br/Ca),ln(Br/Ca) predicted,Rb/Ca,ln(Rb/Ca),ln(Rb/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Cl/Ca,ln(Cl/Ca),Cu/Ca,ln(Cu/Ca),ln(Cu/Ca) predicted
U1456,A,2,H,1,24,4.74,6.26,240,3876,78257,-4816,-2150,107701,-36265,20516,1200765,14404,-285,540,261235,80729,581,115,284,31,1120,1098,89405,-176,5147,89,130,120,63,0.003227942,-5.735910439,-1.511511539,0.065172619,-2.73071585,-0.814519696,0.017085774,-4.069509063,-2.693325047,0.011995686,-4.423208187,-4.511646073,0.000449713,-7.706900272,-5.99744633,0.217557141,-1.525293747,-1.919495654,0.000483858,-7.633718655,-8.578855557,0.000236516,-8.349495173,-7.523562177,0.000932739,-6.977385447,-8.101307444,0.000914417,-6.99722379,-8.009989078,0.074456701,-2.597537524,-4.193918091,0.004286434,-5.452300112,-7.792990972,0.089693654,-2.411355263,9.57723E-05,-9.253537283,-8.638713727
U1456,A,2,H,1,26,4.76,6.28,260,2548,67702,-4576,-1459,120722,-28018,14921,1106397,13263,258,670,228747,69471,725,73,322,55,985,1138,99499,-87,5343,119,127,77,18,0.002302971,-6.073555331,-1.658015658,0.061191417,-2.793748347,-0.86846921,0.013486118,-4.306094452,-2.800285302,0.01198756,-4.423885865,-4.512003074,0.000605569,-7.409341635,-5.877292152,0.206749476,-1.57624748,-1.959071417,0.00065528,-7.330447693,-8.312128746,0.000291035,-8.142067802,-7.378591187,0.000890277,-7.023977707,-8.127869691,0.001028564,-6.879591733,-7.933257688,0.089930649,-2.408716475,-4.045013812,0.004829189,-5.333076776,-7.684867328,0.109112733,-2.215373687,6.59799E-05,-9.626159907,-8.890345785
U1456,A,2,H,1,28,4.78,6.3,280,2220,67905,-4899,-933,108969,-31231,12747,1040693,15616,311,632,213474,69919,638,37,747,83,855,1040,91302,63,4625,107,-84,100,14,0.002133194,-6.15013492,-1.691243542,0.06524979,-2.729532447,-0.813506821,0.012248569,-4.402346167,-2.843800702,0.015005386,-4.199346087,-4.393715518,0.000607288,-7.406508001,-5.876147931,0.205126776,-1.584127071,-1.965191496,0.000613053,-7.397059112,-8.370713489,0.000717791,-7.23933221,-6.747669282,0.000821568,-7.104295926,-8.173659108,0.000999334,-6.908421403,-7.952063281,0.087731925,-2.433469423,-4.064533987,0.004444154,-5.416165745,-7.760220715,0.104708113,-2.256578678,3.55532E-05,-10.24447948,-9.307896995
U1456,A,2,H,1,30,4.8,6.32,300,2699,69296,-3997,-929,110165,-33187,12663,951231,19066,576,750,229646,81397,539,48,278,35,630,935,68517,-137,5400,281,95,227,57,0.002837376,-5.864875601,-1.567469523,0.072848761,-2.619369751,-0.71921857,0.013312224,-4.31907258,-2.806152713,0.020043502,-3.909850291,-4.241209133,0.000788452,-7.145439008,-5.770728271,0.241419802,-1.421217942,-1.838659976,0.000566634,-7.475796643,-8.439963148,0.000292253,-8.137891101,-7.37567209,0.0006623,-7.319792395,-8.296513644,0.000982937,-6.924965685,-7.962855116,0.072029822,-2.630675046,-4.220050341,0.005676855,-5.171357982,-7.538204554,0.115813089,-2.155777693,5.04609E-05,-9.894311203,-9.071428356
U1456,A,2,H,1,32,4.82,6.34,320,4135,86106,-4183,-1105,99802,-36882,23079,1033306,17934,255,562,277164,73451,551,39,234,50,988,1151,74488,-267,5164,160,186,102,11,0.004001719,-5.521031321,-1.41827549,0.083330591,-2.484939554,-0.604159765,0.022335107,-3.801595537,-2.572201342,0.017355943,-4.053820297,-4.317052533,0.000543885,-7.516772079,-5.920672565,0.268230321,-1.315909261,-1.756866723,0.00053324,-7.53653912,-8.493386156,0.000226458,-8.392952813,-7.553934721,0.000956154,-6.952591231,-8.087172261,0.0011139,-6.79988752,-7.881266629,0.072087068,-2.629880611,-4.21942385,0.004997552,-5.298807177,-7.653788229,0.096585135,-2.337330427,3.77429E-05,-10.18471228,-9.267536205
U1456,A,2,H,1,34,4.84,6.36,340,4290,88165,-4029,-2620,107587,-23039,25837,1177465,17243,247,435,270849,61287,601,55,304,66,1035,1315,87415,-132,5595,154,-67,91,65,0.00364342,-5.614832369,-1.458975765,0.07487696,-2.591909043,-0.69571495,0.021942903,-3.819311528,-2.580210742,0.014644172,-4.223712837,-4.406551923,0.000369438,-7.903528349,-6.076844747,0.230027219,-1.469557631,-1.876205412,0.000510419,-7.580279446,-8.531855773,0.000258182,-8.261846679,-7.462304644,0.000879007,-7.036717675,-8.135132746,0.001116806,-6.797282436,-7.879567333,0.074239999,-2.600452209,-4.196216612,0.004751734,-5.34924576,-7.699530979,0.091371718,-2.392819279,4.67105E-05,-9.971541195,-9.123581769
U1456,A,2,H,1,36,4.86,6.38,360,5823,95494,-4149,-2125,109213,-9829,35708,1122282,16203,618,360,310051,43419,710,97,327,32,1159,1447,67392,13,4581,200,381,108,23,0.005188536,-5.261303799,-1.305579718,0.085089131,-2.464055973,-0.586285507,0.031817315,-3.447744638,-2.412225351,0.014437548,-4.237922981,-4.414037826,0.000320775,-8.044770639,-6.133878384,0.276268353,-1.286382591,-1.733933359,0.00063264,-7.3656097,-8.343053731,0.000291371,-8.140914499,-7.377785144,0.001032717,-6.875561827,-8.043257798,0.001289337,-6.653626944,-7.785860855,0.060049079,-2.812593075,-4.363510899,0.004081862,-5.501202076,-7.837340163,0.097313331,-2.329819288,8.6431E-05,-9.356163692,-8.708017341
U1456,A,2,H,1,38,4.88,6.4,380,4651,90887,-4218,-2050,113351,-23424,31508,1106454,16652,684,1231,287664,57986,732,103,269,80,1265,1266,71706,-607,4646,54,-123,100,10,0.004203519,-5.471833336,-1.396928484,0.082142592,-2.499298609,-0.61644968,0.028476557,-3.558674104,-2.462376563,0.01504988,-4.196385257,-4.392155753,0.001112563,-6.801088739,-5.631679633,0.259987311,-1.347122454,-1.78111001,0.000661573,-7.320890351,-8.303723064,0.000243119,-8.321959485,-7.504317484,0.001143292,-6.773843464,-7.985268159,0.001144196,-6.773053262,-7.863762643,0.064807032,-2.73634116,-4.303378639,0.004199,-5.472908952,-7.811681128,0.102445289,-2.278426387,9.30902E-05,-9.281941877,-8.657895349
U1456,A,2,H,1,40,4.9,6.42,400,4205,79774,-4509,-2364,109797,-33527,25018,1232341,14710,697,-138,268450,68467,641,22,285,70,1292,1328,83184,-122,5302,224,85,116,-7,0.003412205,-5.680396598,-1.487424084,0.064733706,-2.737473255,-0.820303359,0.020301199,-3.897075326,-2.615367755,0.011936631,-4.428143357,-4.51424592,-0.000111982,#NUM!,#NUM!,0.217837433,-1.524006215,-1.918495627,0.000520148,-7.561396714,-8.51524841,0.000231267,-8.37193699,-7.539246762,0.001048411,-6.860479486,-8.034659355,0.001077624,-6.83299684,-7.902863839,0.067500797,-2.69561587,-4.271262675,0.004302381,-5.448586784,-7.789623354,0.089096281,-2.418037685,1.78522E-05,-10.93338372,-9.773114024
U1456,A,2,H,1,42,4.92,6.44,420,2817,69850,-4751,-1643,121926,-36729,18043,1118658,16159,-73,654,247215,73130,582,49,258,87,1022,1095,84207,-291,6043,225,-60,146,34,0.002518196,-5.984212543,-1.619249822,0.062440889,-2.773534946,-0.85116856,0.016129148,-4.127127234,-2.719374222,0.014444987,-4.237407862,-4.413766461,0.000584629,-7.444532959,-5.891502409,0.220992475,-1.509626628,-1.907327002,0.000520266,-7.561169863,-8.515048894,0.000230633,-8.374680726,-7.541164359,0.000913595,-6.99812354,-8.11313023,0.000978851,-6.929130668,-7.965571935,0.075275017,-2.586606978,-4.185298263,0.005402008,-5.220984454,-7.583210802,0.108993097,-2.216470728,4.38025E-05,-10.03582001,-9.166989254
