 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X 690.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,690,1.65E+05,257,43,9895,115,138090,373,519,61,2420,94,48315,287,-4737,156,67120,295,27708,221,21029,205,1132,165,2419,180,206298,477,42693,206
374-U1524A-1H-1-A_SHLF9353571 X 700.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,700,1.62E+05,234,44,9620,114,136916,372,454,60,2299,93,46671,283,-4048,157,65754,292,27396,218,20840,204,1366,164,2250,179,198133,469,42391,205
374-U1524A-1H-1-A_SHLF9353571 X 710.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,710,1.54E+05,154,42,9963,115,122665,353,487,59,2220,91,44895,278,-3567,155,67111,292,25296,212,21821,204,856,159,1960,174,192425,461,40852,201
374-U1524A-1H-1-A_SHLF9353571 X 720.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,720,1.59E+05,272,41,10335,116,121651,351,597,61,2260,93,47232,283,-4011,157,68076,295,26277,216,22210,205,743,162,2244,177,204870,474,41482,204
374-U1524A-1H-1-A_SHLF9353571 X 730.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,730,1.52E+05,163,41,8865,109,90469,305,367,58,2498,95,56151,378,-4039,184,65925,294,24134,212,22496,207,851,162,2360,176,196238,475,42317,292
374-U1524A-1H-1-A_SHLF9353571 X 740.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,740,1.56E+05,269,41,9759,113,103065,324,537,59,2761,95,53671,295,-4622,154,69861,298,25800,215,22773,206,867,160,2422,177,202292,472,41279,206
374-U1524A-1H-1-A_SHLF9353571 X 750.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,750,1.65E+05,232,42,10518,117,111827,337,439,60,2693,96,54108,297,-4644,156,75222,308,27463,220,24809,213,1147,164,2911,181,215617,486,41879,208
374-U1524A-1H-1-A_SHLF9353571 X 760.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,760,1.67E+05,272,44,10293,117,102419,323,479,61,2752,97,57714,306,-5158,159,77894,314,27958,223,25775,216,1115,165,2886,182,219737,491,43799,213
374-U1524A-1H-1-A_SHLF9353571 X 780.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,780,1.65E+05,171,43,11558,123,111693,337,546,61,2480,95,51574,292,-5078,153,79802,315,28374,223,25895,216,1102,164,2149,179,216807,487,41422,205
374-U1524A-1H-1-A_SHLF9353571 X 800.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,800,1.66E+05,273,45,11700,124,123274,354,607,62,2168,93,47299,285,-5326,154,77565,312,28870,225,25380,214,1077,162,2841,179,217755,487,42032,205
