Site,Hole,Core,Core Type,Section,Interval (cm),Ar,Ba,Cr,S,Mn,Ca,Si,K,P,Ti,Al,Fe,Rh,Cl,Zn,Rb,Cu,Zr,Mo,Ni,Br,Ga,Pb,Nb,Y,Sr,Bi,ln(Al/Al),predicted_ln(Al/Al),predicted_Al/Al,ln(Ba/Al),predicted_ln(Ba/Al),predicted_Ba/Al
U1456,A,2,H,1,110,-30793,-5266,1495,-1755,705,612700,122800,48359,-1119,32182,9092,400769,60549,91078,425,2022,98,4650,90,602,973,78,113,361,306,24478,52,0.0,0.0,1.0,-0.546123844916179,-5.452492761101098,0.004285608366769728
U1456,A,2,H,1,112,-23799,-5335,1343,-1674,349,581673,136525,54364,-831,33520,10752,425001,45822,94409,440,2097,55,4672,153,643,1130,121,138,258,398,23379,9,0.0,0.0,1.0,-0.700802899027077,-5.4937131916560045,0.004112545119449974
U1456,A,2,H,1,114,-27877,-4763,2200,-1709,166,592342,124654,52476,-1018,28449,10348,447447,54056,98378,411,1993,146,3852,243,728,1369,69,112,338,267,26581,34,0.0,0.0,1.0,-0.7759155425050593,-5.51372996459321,0.00403104365698987
U1456,A,2,H,1,116,-16007,-4828,1156,-1454,518,591522,120304,52518,-1343,30478,9736,442239,40778,106067,388,2193,148,4123,460,789,1659,73,100,317,172,30107,31,0.0,0.0,1.0,-0.7013980524499409,-5.493871794127927,0.004111892911350411
U1456,A,2,H,1,118,-29132,-4845,1259,-1758,78,603579,120212,50416,-1304,30552,9601,438820,50528,105174,468,2071,161,4258,395,734,1487,137,107,189,356,30033,61,0.0,0.0,1.0,-0.6839200143727571,-5.489214070695768,0.004131089643142783
U1456,A,2,H,1,120,-12867,-4266,1124,-1226,1022,611625,119404,51967,-1394,28588,9662,426301,37551,105785,396,2055,93,4255,454,850,1581,93,115,356,178,31778,20,0.0,0.0,1.0,-0.8175240460830562,-5.524818217246998,0.003986593320172697
U1456,A,2,H,1,122,-36833,-4761,1624,-1329,402,648441,117245,45976,-1820,28776,9399,412823,63897,98067,344,1922,88,4012,248,722,1664,129,130,225,223,32352,18,0.0,0.0,1.0,-0.6801455704257827,-5.488208218898355,0.004135246997576315
U1456,A,2,H,1,124,-10540,-5020,1466,-1191,700,506356,131275,59787,-894,35825,10785,435088,38627,103279,527,2110,128,4590,121,699,1166,93,124,301,312,18442,51,0.0,0.0,1.0,-0.7647263461374818,-5.510748154971435,0.004043081399961835
U1456,A,2,H,1,126,-39814,-4770,1801,-1544,770,470090,130092,52888,-440,35075,10150,480369,68200,89979,417,2132,93,4168,226,685,1462,73,118,457,203,17528,60,0.0,0.0,1.0,-0.7551274005875465,-5.508190131386951,0.004053436936743812
U1456,A,2,H,1,128,-12247,-4569,1632,-705,670,544477,118250,52662,-1092,31346,9627,472820,37216,113118,333,1899,139,4173,308,812,1687,86,148,274,339,29827,32,0.0,0.0,1.0,-0.7452772882146951,-5.505565174340523,0.004064091011720191
U1456,A,2,H,1,130,-16952,-4926,1683,-612,1032,541044,121156,51924,-1411,32169,9498,420725,47714,109623,477,2145,141,4059,520,753,1557,118,172,197,428,23192,33,0.0,0.0,1.0,-0.656553950428584,-5.481921286647818,0.00416132691071102
U1456,A,2,H,1,132,-19315,-4730,1453,-329,753,539123,94942,43132,-2218,28991,7186,407946,41896,111044,352,2022,133,3731,276,799,1516,97,119,339,-67,32248,14,0.0,0.0,1.0,-0.4182094861874854,-5.4184048558494196,0.0044342142203104
U1456,A,2,H,1,134,-16752,-2666,1059,1905,1682,327902,70991,41124,-1862,18122,4089,232944,36224,140924,336,2740,86,4378,150,541,1101,144,178,146,319,16657,38,0.0,0.0,1.0,-0.4277212196259883,-5.420939638273015,0.004422988685197304
U1456,A,2,H,1,136,-7640,-2354,922,2041,2153,311794,81217,62762,-1785,14545,4730,244281,23017,145454,325,4186,102,3244,398,611,1373,124,248,450,587,9396,8,0.0,0.0,1.0,-0.6978091936657566,-5.492915398931855,0.004115827387134558
U1456,A,2,H,1,138,-19321,-3030,1662,-428,1118,607904,82182,35377,-2956,20833,5272,345893,49998,115204,425,1932,113,3507,330,719,1666,49,174,226,222,15481,31,0.0,0.0,1.0,-0.5538471776789283,-5.454550952519641,0.004276796835425686
U1456,A,2,H,1,140,-11452,-2469,1304,775,993,641877,80772,34737,-3049,20203,4792,348437,31784,126660,370,1720,103,3834,194,649,1547,72,125,140,219,21967,56,0.0,0.0,1.0,-0.6631346504501058,-5.483674977797529,0.004154035623738026
U1456,A,2,H,1,142,-22386,-4265,862,65,2084,661205,77001,32176,-3146,21073,4576,324008,55579,135453,331,1665,63,3924,322,640,1511,68,114,262,65,21544,36,0.0,0.0,1.0,-0.07038307313385428,-5.325712573841023,0.004864883190335139
U1456,A,2,H,1,144,-11556,-4403,1258,170,1223,718303,91006,38782,-2715,23399,5826,361182,38926,125682,359,1705,106,3570,318,633,1397,60,153,299,-75,26925,29,0.0,0.0,1.0,-0.28004453176362615,-5.381585268726348,0.004600523080837753
U1456,A,2,H,1,146,1648,-1855,724,375,252,326470,34783,11653,-1855,10917,1685,167493,19973,58756,175,719,75,1809,118,436,558,37,96,76,-218,21008,37,0.0,0.0,1.0,0.09611913225507335,-5.281341390981627,0.005085604431392626
U1456,A,2,H,1,148,-364,-2217,881,392,326,437391,48909,17255,-1548,13949,2592,203503,24029,64320,158,930,79,2442,84,423,682,18,84,169,-104,23727,28,0.0,0.0,1.0,-0.15627484785585385,-5.34860187812024,0.004754794136087389
U1456,A,2,H,2,4,-18413,-3831,898,219,1521,530319,106049,25084,-1666,24696,5634,234894,46899,74704,245,1126,69,4502,371,564,559,70,159,32,-78,26018,30,0.0,0.0,1.0,-0.38569380373566886,-5.4097397496515915,0.004472804108717072
U1456,A,2,H,2,6,-17088,-5011,1258,-683,790,586260,104775,34594,-1600,29793,7063,319293,43162,94763,281,1258,57,5422,-52,546,829,47,130,307,199,19966,40,0.0,0.0,1.0,-0.3432343944491977,-5.398424739083707,0.0045237013428185095
U1456,A,2,H,2,8,-14679,-4658,1139,-689,628,630527,97753,38924,-1541,27825,6670,380621,41651,115714,347,1554,120,4615,158,583,1140,83,103,216,161,30298,18,0.0,0.0,1.0,-0.3590336884653831,-5.402635093908761,0.004504694994854356
U1456,A,2,H,2,10,-24695,-5273,1799,-2072,470,664276,104127,37819,-1426,28302,7188,388836,47256,108088,356,2023,116,4471,150,688,1297,55,117,296,265,29836,21,0.0,0.0,1.0,-0.3098135083729799,-5.389518405116856,0.004564170887873081
U1456,A,2,H,2,12,-20019,-4896,1540,-1320,921,685343,105944,39947,-1646,27483,7250,392465,44028,107879,436,2006,136,4454,416,740,1319,72,147,265,47,33772,31,0.0,0.0,1.0,-0.3925829236565584,-5.411575631639077,0.004464600101319305
U1456,A,2,H,2,14,-42340,-5616,1256,-2152,742,744496,109055,31771,-1720,29838,6830,353294,69687,84342,344,1582,67,5563,307,665,1065,101,118,201,162,45658,51,0.0,0.0,1.0,-0.1957050068591887,-5.359109623595595,0.00470509354738295
U1456,A,2,H,2,16,-21443,-5008,1683,-972,656,741633,106746,36970,-1959,28159,7070,365079,51128,103978,293,1586,57,5570,479,649,1024,70,95,464,-43,42492,21,0.0,0.0,1.0,-0.34482384611068395,-5.398848312153824,0.004521785630503154
U1456,A,2,H,2,18,-32438,-5443,1439,-2134,393,847886,123074,40713,-1773,28207,8868,382393,57624,93707,355,1672,71,4703,42,616,1107,93,86,201,115,43933,13,0.0,0.0,1.0,-0.4881189123020021,-5.437035023074394,0.004352368831761403
U1456,A,2,H,2,20,-53255,-4026,889,-1890,689,877303,100902,23913,-3084,22974,5540,309714,90264,91799,279,1579,68,4874,59,652,908,75,160,112,-163,53950,43,0.0,0.0,1.0,-0.3192211735415927,-5.392025454380867,0.004552742618211182
U1456,A,2,H,2,22,-35642,-4282,108,-2504,737,1096856,86363,20921,-2994,22015,4359,275980,70610,93398,213,1012,83,7295,276,572,1012,95,115,106,-89,71866,24,0.0,0.0,1.0,-0.017822483088764433,-5.311705698997288,0.004933504463190301
U1456,A,2,H,2,24,-38262,-2427,-79,-2248,617,1256371,73961,16772,-5325,12407,3610,253258,76962,108213,237,1068,79,4875,243,614,1280,54,81,104,-474,96691,8,0.0,0.0,1.0,-0.39705184560032525,-5.412766554920172,0.004459286269928675
U1456,A,2,H,2,26,-46846,-2942,-43,-2679,322,1324149,70008,10018,-5375,10532,3184,205382,89776,101431,213,743,27,5400,23,662,1014,80,62,-48,-467,110085,43,0.0,0.0,1.0,-0.07904864580289078,-5.328021862829604,0.004853661730936109
U1456,A,2,H,2,28,-38987,-4664,710,-342,544,1055062,86005,18724,-4946,25238,4801,278602,75696,95583,218,933,82,8075,441,703,846,79,117,69,-102,72533,12,0.0,0.0,1.0,-0.02895078050061204,-5.31467127965264,0.004918895430630147
U1456,A,2,H,2,30,-19947,-5606,1519,-623,904,617831,124491,50880,-2010,32395,9285,449421,42925,105049,390,2017,55,4087,229,713,1158,82,121,373,59,25310,56,0.0,0.0,1.0,-0.5045627420620726,-5.441417140269109,0.004333337969654086
U1456,A,2,H,2,32,-20099,-5031,1290,-904,643,668183,116339,47565,-2090,29892,8463,423137,45640,106682,446,1909,117,4737,150,685,1307,134,143,262,377,30022,28,0.0,0.0,1.0,-0.5200849491787874,-5.445553654189441,0.004315450079081545
U1456,A,2,H,2,34,-34031,-4841,1406,-1345,1300,704175,120136,40991,-2010,30796,8476,385507,61738,95281,347,1677,116,4751,379,665,1155,73,97,308,220,30443,46,0.0,0.0,1.0,-0.5601173294484953,-5.456221885646765,0.004269656561037215
U1456,A,2,H,2,36,-19414,-5691,1448,-955,485,625138,120623,45985,-1302,32434,8517,399670,42328,105721,283,1859,102,5021,235,604,921,74,111,361,130,20505,8,0.0,0.0,1.0,-0.403178186537957,-5.4143991638899305,0.004452011938850507
U1456,A,2,H,2,38,-37430,-4888,873,-1795,998,711883,104655,32373,-1911,28479,6929,350128,63799,95441,321,1561,43,5319,97,547,1121,96,99,270,167,51175,16,0.0,0.0,1.0,-0.34893228077595,-5.399943169158106,0.00451683763100396
