Site,Hole,Core,Core Type,Section,Interval (cm),Ca,Al,Ti,Fe,P,Ar,Mn,K,Cl,S,Si,Ba,Rh,Cr,Zn,Ga,Ni,Sr,Mo,Y,Cu,Nb,Zr,Br,Bi,Pb,Rb,Al/K,ln(Al/K),predicted_ln(Al/K),predicted_Al/K,Ba/K,ln(Ba/K),predicted_ln(Ba/K),predicted_Ba/K,Br/K,ln(Br/K),predicted_ln(Br/K),predicted_Br/K,Ca/K,ln(Ca/K),predicted_ln(Ca/K),predicted_Ca/K
U1456,C,3,H,3,72,1706696,-167,4496,110537,-6663,-47768,-112,-4417,100265,-3209,39384,-1489,104973,-257,111,54,629,156814,-100,-1649,55,-71,5470,1049,31,105,303,-3.275222199179771,-3.275222199179771,0.8799096145547272,2.4106818060213975,-1.0873559789125173,-1.0873559789125173,-4.2476147851553305,0.014298297780142575,-1.4376234032002293,-1.4376234032002293,-4.756891706246302,0.008592275248865223,5.956853884103351,5.956853884103351,3.7165063285940767,41.12048141304556
U1456,C,3,H,3,74,1613130,1726,8606,159458,-6396,-52660,273,1329,79448,-3680,60916,-2511,106877,-130,225,50,615,124465,-39,-905,90,133,5248,967,48,76,487,0.2613798129301279,0.2613798129301279,1.3952879465311994,4.036136596856263,0.6362543004443397,0.6362543004443397,-4.3483963813508035,0.012927526790243107,-0.3179835632599509,-0.3179835632599509,-4.364179670393589,0.012725089662599604,7.101504890310775,7.101504890310775,4.276773381726198,72.00772332933546
U1456,C,3,H,3,76,1747279,2320,5778,172577,-4640,-40119,116,5140,90191,-4475,61243,-1510,95735,-838,172,40,648,129606,-116,-1248,53,-30,5144,1006,24,94,606,-0.7954858937888551,-0.7954858937888551,1.241274098440045,3.460019062474137,-1.2249434286402408,-1.2249434286402408,-4.23956987908457,0.014413790182627229,-1.6310710077895263,-1.6310710077895263,-4.824743170546774,0.00802861559058088,5.828761920262801,5.828761920262801,3.6538097453371132,38.62152429724563
U1456,C,3,H,3,78,1693660,1129,6599,174985,-5817,-28926,278,6716,95444,-4058,61380,-1889,82512,-275,186,34,571,122802,272,-395,107,63,5189,993,46,105,457,-1.7831604540477695,-1.7831604540477695,1.0973432671904875,2.9961953501688976,-1.268445150695922,-1.268445150695922,-4.237026280314865,0.014450499749014247,-1.9115173541522588,-1.9115173541522588,-4.923109316247197,0.007276470787557577,5.5301544074695554,5.5301544074695554,3.5076517021182467,33.369813440696646
U1456,C,3,H,3,80,1636544,868,10474,166630,-5808,-60925,878,-2903,90281,-4832,58771,-2275,112863,-504,167,112,572,147143,-87,-866,22,-259,6840,891,30,62,399,-1.2073082493642797,-1.2073082493642797,1.1812604701153635,3.258478830653491,-0.24376463263957907,-0.24376463263957907,-4.296940600528048,0.013610134219633445,-1.1811555365538207,-1.1811555365538207,-4.666935977226436,0.009401030413781652,6.334597295185637,6.334597295185637,3.9013986552678337,49.471594445190235
U1456,C,3,H,3,82,1486300,911,13868,193497,-5634,-44396,290,15,102517,-3318,57573,-3029,98026,-90,185,59,656,124767,89,-584,75,-65,6766,779,31,120,645,4.106492696157749,4.106492696157749,1.9556246361653382,7.06833278134525,5.307937609925027,5.307937609925027,-4.621555404877219,0.009837482886320126,3.949960844768538,3.949960844768538,-2.867204413178311,0.05685765511812636,11.503750167034775,11.503750167034775,6.431520090530476,621.1173854318139
U1456,C,3,H,3,84,1468507,265,11816,174697,-6327,-46277,116,101,116319,-3068,47400,-2663,97164,-37,153,39,598,125018,14,-1043,43,28,6353,866,18,123,512,0.9646093091449628,0.9646093091449628,1.4977674575179716,4.471694669710496,3.2720880689726726,3.2720880689726726,-4.502516798059698,0.011081072591516954,2.148764391721176,2.148764391721176,-3.49897143397729,0.030228459403991142,9.584636279537003,9.584636279537003,5.492180259837605,242.7859667239302
U1456,C,3,H,3,86,1887592,260,3173,149736,-6140,-57254,-95,-3695,94328,-5262,44916,-888,107967,-596,170,64,564,157361,3,-1194,41,-134,5759,1033,38,70,605,-2.6540542023667744,-2.6540542023667744,0.9704305510294702,2.639080473595314,-1.425764090390132,-1.425764090390132,-4.227827649949259,0.014584037796767604,-1.2745133642626636,-1.2745133642626636,-4.6996810987150415,0.009098178059785647,6.23607666725703,6.23607666725703,3.8531762175265922,47.142560715225564
U1456,C,3,H,3,88,1624503,1284,5883,175183,-5693,-33733,-19,6056,99020,-3784,56014,-1489,81808,-507,213,96,636,130450,-94,-1032,47,-223,5403,1078,44,91,586,-1.551069310867378,-1.551069310867378,1.1311652086555557,3.09926568819352,-1.4029447624332756,-1.4029447624332756,-4.229161923899202,0.014564591671164782,-1.7259420436483421,-1.7259420436483421,-4.858019047580194,0.007765852448119846,5.591907685694371,5.591907685694371,3.53787779463434,34.39385087042711
U1456,C,3,H,3,90,1578483,420,6457,162626,-6076,-36097,316,1190,120807,-3743,42200,-1400,90841,-431,160,78,638,145379,-57,-1191,43,-91,5710,961,61,123,447,-1.041453874828161,-1.041453874828161,1.205429927296787,3.3381939503011466,0.16251892949777494,0.16251892949777494,-4.320696496156301,0.013290623449861,-0.21373417713528256,-0.21373417713528256,-4.327614350724723,0.0131989981404009,7.190266231098528,7.190266231098528,4.320218986164166,75.20509536428635
U1456,C,3,H,3,92,1363680,1213,17025,194078,-4822,-49705,287,913,91113,-2671,62116,-2952,107555,127,179,114,591,115231,-99,-535,42,6,7604,764,43,103,555,0.2841160283490816,0.2841160283490816,1.3986012265491248,4.049531626079556,1.1735023051253946,1.1735023051253946,-4.379809927738327,0.01252773957058482,-0.17816809142844803,-0.17816809142844803,-4.315139598195384,0.0133646836701764,7.308961605161156,7.308961605161156,4.378316263924679,79.70372033367067
U1456,C,3,H,3,94,1496842,1231,9375,176649,-5799,-56510,73,-1482,90035,-3557,53424,-2353,112991,-199,240,84,539,123836,-114,-427,44,-106,6362,856,18,110,620,-0.18556567967157866,-0.18556567967157866,1.3301559295067427,3.7816330097677318,0.4622985828713303,0.4622985828713303,-4.338224978282311,0.013059688873387154,-0.5488774297142901,-0.5488774297142901,-4.445165356260238,0.011735165387436375,6.917720307553351,6.917720307553351,4.186817188935363,65.8129869511984
U1456,C,3,H,3,96,1609414,412,5263,157622,-5934,-54004,300,-1333,105225,-4034,45185,-1646,104887,-295,166,46,559,135853,-70,-1458,34,-15,5156,1169,69,93,573,-1.1741639708291822,-1.1741639708291822,1.1860904857426497,3.2742554042040974,0.2109160610583064,0.2109160610583064,-4.323526335493169,0.013253066286243695,-0.13128335870664032,-0.13128335870664032,-4.298694846784454,0.013586279622166087,7.096193375371623,7.096193375371623,4.274173578985897,71.82076059132669
U1456,C,3,H,3,98,1688624,29,2949,143783,-6518,-38738,-66,-1431,119174,-3290,37210,-921,89934,-402,171,47,681,157760,59,-1154,81,65,5180,1172,36,98,436,-3.898832949569977,-3.898832949569977,0.7890327029774022,2.201266117939767,-0.44066874330114403,-0.44066874330114403,-4.2854273769138755,0.013767736251139737,-0.19966180941949294,-0.19966180941949294,-4.3226784883359475,0.013264307625614365,7.073295774517562,7.073295774517562,4.262965995814493,71.02031733934314
U1456,C,3,H,3,100,1558218,-473,2697,116932,-6256,-55312,-5,-7522,126223,-4047,22519,-1253,116877,-55,182,56,632,159557,10,-1190,64,-62,5594,1274,19,94,480,-2.7664919505383487,-2.7664919505383487,0.9540453375094209,2.596190913400703,-1.7922913841342134,-1.7922913841342134,-4.206396351844841,0.014899965941408575,-1.775670502898173,-1.775670502898173,-4.875461231910524,0.0076315734817669284,5.333466079572419,5.333466079572419,3.4113795726579914,30.307026176836544
U1456,C,3,H,3,102,1660860,-463,2545,99421,-7663,-48689,125,-8113,132732,-3201,23085,-980,110177,-240,69,59,570,169772,-168,-1736,58,-237,5708,1138,23,59,271,-2.863495938308831,-2.863495938308831,0.939909239288295,2.5597490831374055,-2.1136704207304473,-2.1136704207304473,-4.187604927426082,0.015182604801613514,-1.9641953777087888,-1.9641953777087888,-4.94158605594296,0.007143259773249822,5.321623106073702,5.321623106073702,3.405582846995352,30.131852866764547
