 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-4-A_SHLF8287831 X 740.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,740,1.48E+05,969,42,69666,252,548,36,1262,46,42219,200,323,52,4748,75,224,31,422,32,85,26,118,27,1908,54,754,58,45072,222,483,80,2784,142,437,133,404,172,47869,557,29845,329
363-U1487A-3H-4-A_SHLF8287831 X 760.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,760,1.48E+05,1103,44,65677,245,566,37,1239,46,44697,206,391,53,4684,74,260,32,461,34,78,26,161,28,1975,55,795,60,42811,218,599,84,3846,146,469,134,-11,172,48708,559,29434,329
363-U1487A-3H-4-A_SHLF8287831 X 780.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,780,1.50E+05,1101,45,63056,240,592,37,1264,45,46921,210,438,54,4760,74,262,32,439,34,91,27,100,26,1958,55,997,61,42274,217,715,85,5122,151,160,136,66,173,48904,563,29363,331
363-U1487A-3H-4-A_SHLF8287831 X 820.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,820,1.46E+05,1066,42,70085,252,494,35,1245,45,38053,190,304,50,4650,74,179,31,424,33,118,26,78,27,1807,53,808,59,43893,220,555,83,3494,145,107,134,48,170,46532,553,29207,327
363-U1487A-3H-4-A_SHLF8287831 X 840.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,840,1.47E+05,902,42,73398,258,452,34,1204,44,35905,185,294,49,4807,75,178,31,388,33,33,25,95,27,1969,55,917,60,45205,223,553,82,3544,146,217,134,109,171,46847,553,29361,327
363-U1487A-3H-4-A_SHLF8287831 X 860.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,860,1.48E+05,951,42,67718,248,461,35,1231,46,38202,191,302,50,4784,75,241,32,384,32,95,26,113,27,1979,54,756,59,45695,224,616,82,3157,145,126,134,157,172,48288,557,30041,329
363-U1487A-3H-4-A_SHLF8287831 X 880.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,880,1.45E+05,1095,42,71585,255,486,35,1228,45,35344,184,346,50,4635,74,178,31,494,32,140,24,104,28,1918,53,737,59,44479,221,583,82,3667,145,336,133,278,170,48602,549,29312,325
363-U1487A-3H-4-A_SHLF8287831 X 900.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,900,1.46E+05,978,42,67892,248,400,34,1202,45,34600,182,342,48,4759,74,187,31,391,33,57,25,99,27,2017,55,864,60,44272,221,681,83,3655,146,350,134,435,172,47023,550,29576,327
363-U1487A-3H-4-A_SHLF8287831 X 920.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,920,1.44E+05,931,42,68668,250,378,33,1184,45,33403,179,227,47,4572,73,215,32,410,33,77,26,104,28,1871,54,845,59,43033,218,629,82,3560,144,618,135,221,170,47054,542,28826,325
363-U1487A-3H-4-A_SHLF8287831 X 940.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,940,1.46E+05,925,41,66633,246,436,35,1191,45,35539,184,323,49,4666,74,196,32,427,33,75,26,88,27,2016,54,781,59,43361,219,667,83,4150,148,400,135,-51,173,48446,555,30273,330
