FileName,Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5   60.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,6,33.86,35.63,0,0,60,15,18,10/22/2015 15:47,,60,,7194,107555,-2670,-1817,79626,-17935,36660,864870,21341,1262,1524,363021,40195,-3957
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5   80.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,8,33.88,35.65,0,0,80,15,18,10/22/2015 15:47,,80,,6871,104354,-2304,-2195,76195,-42474,33520,793849,23346,983,1003,395757,61137,-4217
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,10,33.9,35.67,0,0,100,15,18,10/22/2015 15:48,,100,,9184,116202,-1225,-1685,75340,-37988,39717,604069,33391,1648,616,455228,54419,-6008
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,12,33.92,35.69,0,0,120,15,18,10/22/2015 15:48,,120,,8632,118142,-1329,-597,73688,-38816,36971,620174,34675,1459,818,434609,53910,-5651
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,16,33.96,35.73,0,0,160,15,18,10/22/2015 15:48,,160,,5056,89544,-3021,-1694,72487,-28424,24891,874826,16513,682,1647,258255,50188,-3389
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,18,33.98,35.75,0,0,180,15,18,10/22/2015 15:49,,180,,4745,80873,-2975,-2187,78208,-43099,21910,977822,15390,1023,1719,274359,56195,-3590
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,20,34,35.77,0,0,200,15,18,10/22/2015 15:49,,200,,6255,102715,-2425,-2106,76976,-16023,35986,919364,17293,896,1133,312629,37426,-3059
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  220.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,22,34.02,35.79,0,0,220,15,18,10/22/2015 15:50,,220,,5858,99755,-2362,-1785,78541,-17020,34620,875131,19273,706,958,317103,38859,-3658
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  240.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,24,34.04,35.81,0,0,240,15,18,10/22/2015 15:50,,240,,8205,110569,-1485,-1222,84163,-16914,40897,688540,25511,1432,709,383927,28757,-5004
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-5\Run 1 at  10kV\U1456C-5H-5  260.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,5,26,34.06,35.83,0,0,260,15,18,10/22/2015 15:51,,260,,6662,104798,-2981,-1658,81214,-7948,36572,889883,16723,908,602,323660,27246,-3238
